Source,Target
5586,961
5586,1049
5586,1321
5586,1516
5586,1680
5586,1725
5586,1757
5586,1907
5586,2020
5586,2056
5586,2545
5586,2617
5586,2774
5586,2951
5586,2952
5586,3009
5586,3198
5586,3508
5586,3797
5586,3823
5586,3860
5586,3878
5586,3961
5586,3997
5586,4028
5586,4119
5586,4138
5586,4276
5586,4418
5586,4550
5586,4936
5586,5204
5586,5504
5586,5520
5586,5819
5586,6376
5586,6381
5586,6817
5586,6819
5586,7130
5586,7297
5586,7383
5586,8131
5586,8277
5586,8298
5586,8322
5586,8597
5586,8619
5586,8691
5586,8767
5586,9720
5586,9836
5586,9937
5586,10043
5586,10077
5586,10244
5586,10794
5586,10887
5586,11397
5586,11449
5586,11603
5586,11678
5586,11822
5586,11936
5586,11949
6595,73
6595,134
6595,459
6595,605
6595,1547
6595,1682
6595,2058
6595,2196
6595,2883
6595,4048
6595,4409
6595,5014
6595,5301
6595,5304
6595,5997
6595,6244
6595,6278
6595,6337
6595,6651
6595,7443
6595,7491
6595,7499
6595,7545
6595,7971
6595,8244
6595,8283
6595,8549
6595,8785
6595,9151
6595,9191
6595,9573
6595,10071
6595,10092
6595,10227
6595,10453
6595,10612
6595,10820
6595,10984
6595,11111
6595,11118
6595,11280
6595,11417
6595,11603
6595,11980
6595,11995
6595,12087
6651,73
6651,293
6651,592
6651,2196
6651,3161
6651,3283
6651,3296
6651,3429
6651,3897
6651,4300
6651,4507
6651,4641
6651,4655
6651,4720
6651,4936
6651,5226
6651,5301
6651,5436
6651,5450
6651,5472
6651,5530
6651,5799
6651,5921
6651,6074
6651,6278
6651,6552
6651,6645
6651,6875
6651,7336
6651,7493
6651,7730
6651,8012
6651,8184
6651,8259
6651,8655
6651,8688
6651,8996
6651,9191
6651,9247
6651,9252
6651,9317
6651,9391
6651,9535
6651,9857
6651,9955
6651,10559
6651,10565
6651,10658
6651,10873
6651,11732
6651,11906
6651,11995
6651,12129
9173,1140
9173,1571
9173,1978
9173,2255
9173,2357
9173,2750
9173,2992
9173,3265
9173,3645
9173,3865
9173,4503
9173,4827
9173,5719
9173,6183
9173,6232
9173,6364
9173,6459
9173,6715
9173,7347
9173,7668
9173,7705
9173,7954
9173,8152
9173,8289
9173,8494
9173,8597
9173,10101
9173,10476
9173,10563
9173,11227
9256,109
9256,138
9256,206
9256,364
9256,564
9256,692
9256,945
9256,1010
9256,1479
9256,1625
9256,1801
9256,2297
9256,2686
9256,2724
9256,2970
9256,3746
9256,4118
9256,5050
9256,5079
9256,5126
9256,5553
9256,5843
9256,6201
9256,6355
9256,6635
9256,7198
9256,7449
9256,7474
9256,7607
9256,7998
9256,8087
9256,8128
9256,8602
9256,8667
9256,8757
9256,8784
9256,8813
9256,9778
9256,10417
9256,10880
9256,11135
9256,11396
9256,11557
9256,11899
9857,73
9857,218
9857,293
9857,592
9857,2998
9857,3059
9857,3161
9857,3283
9857,3296
9857,3429
9857,4300
9857,4315
9857,4398
9857,4655
9857,5301
9857,5472
9857,5531
9857,5921
9857,6056
9857,6074
9857,6278
9857,6645
9857,6937
9857,7336
9857,7554
9857,7979
9857,7989
9857,8184
9857,8259
9857,8655
9857,8667
9857,8668
9857,8688
9857,8996
9857,9191
9857,9304
9857,9317
9857,9507
9857,9535
9857,9838
9857,9922
9857,10131
9857,10565
9857,11603
9857,11687
9857,11732
9857,11906
9857,11995
9857,12129
10563,512
10563,1104
10563,1361
10563,1449
10563,1580
10563,1602
10563,2255
10563,2325
10563,2416
10563,2792
10563,2992
10563,3082
10563,3354
10563,3400
10563,3458
10563,3645
10563,3865
10563,4040
10563,4088
10563,4503
10563,4827
10563,5204
10563,6058
10563,6136
10563,6459
10563,6715
10563,6922
10563,7026
10563,7115
10563,7668
10563,7958
10563,8065
10563,8194
10563,8458
10563,8494
10563,9070
10563,9295
10563,9712
10563,9926
10563,10322
10563,10323
10563,10408
10563,10663
10563,11471
10563,11655
10820,37
10820,51
10820,109
10820,379
10820,436
10820,457
10820,488
10820,514
10820,702
10820,823
10820,861
10820,894
10820,996
10820,1039
10820,1104
10820,1220
10820,1279
10820,1356
10820,1414
10820,1423
10820,1490
10820,1581
10820,1646
10820,1736
10820,1917
10820,1992
10820,1994
10820,2078
10820,2131
10820,2592
10820,2612
10820,2676
10820,2782
10820,2898
10820,2951
10820,2972
10820,2980
10820,3104
10820,3333
10820,3394
10820,3424
10820,3704
10820,3835
10820,4034
10820,4090
10820,4301
10820,4469
10820,4491
10820,4594
10820,4609
10820,4798
10820,4830
10820,4850
10820,4867
10820,5040
10820,5079
10820,5276
10820,5284
10820,5399
10820,5489
10820,5718
10820,5864
10820,6051
10820,6133
10820,6189
10820,6223
10820,6278
10820,6404
10820,6407
10820,6443
10820,6451
10820,6760
10820,6876
10820,6879
10820,6964
10820,7011
10820,7079
10820,7127
10820,7180
10820,7363
10820,7481
10820,7520
10820,7745
10820,7755
10820,8057
10820,8123
10820,8173
10820,8184
10820,8283
10820,8597
10820,8611
10820,8644
10820,8809
10820,8823
10820,8873
10820,8984
10820,9008
10820,9076
10820,9191
10820,9216
10820,9433
10820,9438
10820,9524
10820,9558
10820,9650
10820,9814
10820,9971
10820,10108
10820,10154
10820,10237
10820,10350
10820,10404
10820,10612
10820,10741
10820,10758
10820,10838
10820,10851
10820,11082
10820,11192
10820,11338
10820,11353
10820,11357
10820,11417
10820,11449
10820,11513
10820,11603
10820,11722
10820,11918
10820,11986
10820,12019
10820,12074
10820,12085
1,995
1,1751
1,1771
1,2250
1,2261
1,2363
1,2526
1,2620
1,2818
1,2918
1,3482
1,3720
1,3919
1,4347
1,4558
1,4885
1,4927
1,5313
1,5860
1,6128
1,6236
1,6418
1,7389
1,7469
1,7626
1,7825
1,8047
1,8495
1,8508
1,8609
1,8824
1,8864
1,9142
1,9220
1,9319
1,9467
1,9877
1,10607
1,10839
1,11071
1,11251
1,11363
1,12003
995,57
995,94
995,137
995,299
995,334
995,348
995,351
995,377
995,380
995,478
995,779
995,802
995,941
995,1026
995,1093
995,1156
995,1186
995,1283
995,1398
995,1400
995,1411
995,1662
995,1845
995,2028
995,2135
995,2210
995,2246
995,2261
995,2316
995,2363
995,2384
995,2483
995,2575
995,2583
995,2596
995,2620
995,2673
995,2723
995,2739
995,2771
995,3081
995,3169
995,3246
995,3279
995,3314
995,3363
995,3384
995,3438
995,3620
995,3714
995,3720
995,3729
995,3765
995,3770
995,3919
995,3931
995,4021
995,4123
995,4314
995,4328
995,4335
995,4373
995,4506
995,4906
995,5044
995,5091
995,5112
995,5128
995,5151
995,5456
995,5538
995,5559
995,5597
995,5705
995,5786
995,5871
995,5917
995,6005
995,6069
995,6163
995,6236
995,6319
995,6490
995,6650
995,6833
995,7021
995,7122
995,7279
995,7299
995,7338
995,7516
995,7530
995,7541
995,7590
995,7622
995,8024
995,8050
995,8074
995,8100
995,8127
995,8146
995,8208
995,8254
995,8286
995,8310
995,8467
995,8531
995,8692
995,8951
995,9025
995,9050
995,9161
995,9290
995,9459
995,9481
995,9540
995,9659
995,9841
995,9877
995,9907
995,9929
995,10230
995,10249
995,10283
995,10353
995,10388
995,10425
995,10460
995,10529
995,10608
995,10626
995,10638
995,10667
995,10756
995,10839
995,10927
995,10963
995,11044
995,11050
995,11143
995,11145
995,11168
995,11307
995,11352
995,11463
995,11468
995,11570
995,11788
995,11835
995,11857
995,11932
995,11944
995,11957
995,12053
995,12057
995,12116
1751,83
1751,597
1751,2673
1751,2991
1751,4558
1751,5155
1751,5559
1751,5814
1751,6605
1751,7208
1751,7299
1751,7338
1751,8108
1751,8524
1751,8735
1751,8746
1751,9201
1751,10582
1751,10797
1751,11131
1751,11146
1751,11293
1751,11846
1771,1204
1771,2320
1771,3956
1771,4183
1771,4237
1771,4347
1771,6856
1771,7453
1771,7461
2250,144
2250,527
2250,986
2250,1615
2250,2363
2250,2691
2250,3293
2250,3559
2250,4397
2250,4597
2250,4927
2250,4950
2250,5356
2250,5469
2250,6131
2250,6650
2250,6821
2250,7227
2250,7336
2250,7409
2250,7780
2250,8313
2250,8326
2250,9817
2250,10176
2250,10508
2250,11836
2250,11906
2250,12132
2261,83
2261,123
2261,127
2261,219
2261,375
2261,391
2261,493
2261,673
2261,839
2261,959
2261,1320
2261,1362
2261,1366
2261,1398
2261,1403
2261,1424
2261,1426
2261,1476
2261,1667
2261,1686
2261,1876
2261,1963
2261,1974
2261,2037
2261,2277
2261,2375
2261,2471
2261,2496
2261,2596
2261,2609
2261,2620
2261,2653
2261,2735
2261,2818
2261,2825
2261,2949
2261,2991
2261,3156
2261,3347
2261,3349
2261,3356
2261,3482
2261,3498
2261,3534
2261,3564
2261,3680
2261,3900
2261,4062
2261,4167
2261,4266
2261,4347
2261,4395
2261,4444
2261,4577
2261,4579
2261,4674
2261,4817
2261,4849
2261,4927
2261,4950
2261,5128
2261,5183
2261,5196
2261,5356
2261,5375
2261,5376
2261,5532
2261,5902
2261,6086
2261,6180
2261,6198
2261,6277
2261,6329
2261,6418
2261,6821
2261,6835
2261,6908
2261,6959
2261,7130
2261,7183
2261,7224
2261,7306
2261,7648
2261,7671
2261,7704
2261,7857
2261,7889
2261,7931
2261,8024
2261,8048
2261,8100
2261,8130
2261,8217
2261,8465
2261,8609
2261,8824
2261,8828
2261,8951
2261,8994
2261,9013
2261,9021
2261,9054
2261,9061
2261,9142
2261,9166
2261,9240
2261,9355
2261,9523
2261,9593
2261,9873
2261,9886
2261,10272
2261,10283
2261,10342
2261,10360
2261,10441
2261,10444
2261,10607
2261,10626
2261,10810
2261,10839
2261,10844
2261,10852
2261,10966
2261,11386
2261,11415
2261,11452
2261,11657
2261,11904
2261,11908
2261,12136
2261,12146
2363,377
2363,597
2363,1118
2363,1186
2363,1856
2363,2836
2363,3302
2363,3376
2363,3559
2363,4260
2363,5238
2363,5423
2363,6185
2363,6408
2363,6549
2363,6587
2363,7990
2363,8724
2363,8732
2363,9338
2363,9374
2363,9888
2363,9981
2363,10839
2363,10942
2363,11022
2363,11050
2363,11461
2363,11468
2363,11563
2526,113
2526,523
2526,530
2526,650
2526,968
2526,1032
2526,1667
2526,2037
2526,2494
2526,2546
2526,2575
2526,2748
2526,3482
2526,3564
2526,3904
2526,4167
2526,4577
2526,4580
2526,4634
2526,4692
2526,4885
2526,5196
2526,5254
2526,5302
2526,5313
2526,5387
2526,5636
2526,5700
2526,5860
2526,6067
2526,6249
2526,6512
2526,6535
2526,6699
2526,6739
2526,6961
2526,7047
2526,7234
2526,7528
2526,7704
2526,8518
2526,8824
2526,8859
2526,9229
2526,9319
2526,9401
2526,9467
2526,9678
2526,9804
2526,9910
2526,10283
2526,10425
2526,10460
2526,11081
2526,11097
2526,11386
2526,11686
2526,11901
2526,12039
2526,12116
2526,12132
2620,38
2620,83
2620,348
2620,514
2620,1086
2620,1135
2620,1283
2620,1326
2620,1397
2620,1398
2620,1763
2620,2125
2620,2126
2620,2210
2620,2228
2620,2246
2620,2596
2620,2723
2620,3299
2620,3438
2620,3449
2620,3720
2620,3765
2620,3770
2620,4354
2620,4502
2620,4580
2620,4813
2620,4814
2620,4817
2620,5196
2620,5772
2620,5809
2620,5860
2620,6075
2620,6128
2620,6686
2620,6699
2620,6733
2620,6908
2620,7126
2620,7188
2620,7743
2620,8074
2620,8286
2620,8582
2620,8997
2620,9053
2620,9097
2620,10230
2620,10272
2620,10425
2620,10441
2620,10582
2620,10927
2620,11044
2620,11071
2620,11246
2620,11786
2620,12041
2620,12101
2818,164
2818,220
2818,375
2818,633
2818,967
2818,1086
2818,1372
2818,2037
2818,2494
2818,2653
2818,3356
2818,3564
2818,3714
2818,4062
2818,4444
2818,4600
2818,4849
2818,4929
2818,5524
2818,5532
2818,5652
2818,6225
2818,6959
2818,7125
2818,7234
2818,7671
2818,8100
2818,8147
2818,8375
2818,8609
2818,8862
2818,8959
2818,9142
2818,9229
2818,9240
2818,9355
2818,9468
2818,9804
2818,10283
2818,10607
2818,10680
2818,10743
2818,10966
2818,11194
2818,11231
2818,11466
2818,12003
2818,12105
2918,306
2918,419
2918,865
2918,1502
2918,1816
2918,1892
2918,1934
2918,2000
2918,2028
2918,2037
2918,2155
2918,2424
2918,2459
2918,2531
2918,2893
2918,3025
2918,3146
2918,3302
2918,3564
2918,4080
2918,4328
2918,4439
2918,4558
2918,4577
2918,4749
2918,5227
2918,5247
2918,5356
2918,5809
2918,5825
2918,5906
2918,5959
2918,6341
2918,6535
2918,6699
2918,6969
2918,7020
2918,7251
2918,7308
2918,7350
2918,7931
2918,8021
2918,8031
2918,8048
2918,8100
2918,8127
2918,8229
2918,8522
2918,8755
2918,8889
2918,9079
2918,9098
2918,9220
2918,9273
2918,9839
2918,10045
2918,10162
2918,10515
2918,10852
2918,11271
2918,11775
2918,11786
2918,11878
2918,11992
2918,12132
3482,1187
3482,1320
3482,1398
3482,2037
3482,2691
3482,3766
3482,3976
3482,4444
3482,4471
3482,4892
3482,5705
3482,5860
3482,6690
3482,8609
3482,9290
3482,9355
3482,9467
3482,9548
3482,9582
3482,10529
3482,10839
3482,10852
3482,11327
3482,12003
3720,25
3720,49
3720,57
3720,83
3720,104
3720,148
3720,152
3720,166
3720,211
3720,231
3720,299
3720,348
3720,377
3720,408
3720,478
3720,523
3720,666
3720,681
3720,733
3720,795
3720,990
3720,1022
3720,1043
3720,1093
3720,1135
3720,1139
3720,1157
3720,1168
3720,1186
3720,1192
3720,1326
3720,1334
3720,1373
3720,1398
3720,1399
3720,1502
3720,1536
3720,1564
3720,1586
3720,1613
3720,1620
3720,1632
3720,1676
3720,1709
3720,1763
3720,1786
3720,1808
3720,1894
3720,1911
3720,1924
3720,1984
3720,2002
3720,2100
3720,2135
3720,2143
3720,2210
3720,2224
3720,2246
3720,2252
3720,2311
3720,2370
3720,2384
3720,2469
3720,2583
3720,2596
3720,2635
3720,2653
3720,2719
3720,2723
3720,2735
3720,2771
3720,2809
3720,2811
3720,2836
3720,2915
3720,2980
3720,3081
3720,3290
3720,3299
3720,3318
3720,3376
3720,3384
3720,3403
3720,3500
3720,3609
3720,3620
3720,3648
3720,3696
3720,3714
3720,3765
3720,3770
3720,3857
3720,3872
3720,3904
3720,3919
3720,3923
3720,3976
3720,4021
3720,4237
3720,4328
3720,4439
3720,4512
3720,4562
3720,4577
3720,4600
3720,4606
3720,4634
3720,4742
3720,4749
3720,4784
3720,4800
3720,4826
3720,4906
3720,4957
3720,4981
3720,5019
3720,5020
3720,5044
3720,5077
3720,5091
3720,5112
3720,5128
3720,5151
3720,5241
3720,5317
3720,5456
3720,5469
3720,5559
3720,5597
3720,5672
3720,5749
3720,5809
3720,5825
3720,5850
3720,5852
3720,6005
3720,6069
3720,6236
3720,6319
3720,6422
3720,6537
3720,6544
3720,6551
3720,6605
3720,6692
3720,6716
3720,6725
3720,6763
3720,6835
3720,6892
3720,7085
3720,7101
3720,7125
3720,7145
3720,7165
3720,7188
3720,7234
3720,7270
3720,7295
3720,7299
3720,7386
3720,7388
3720,7437
3720,7461
3720,7469
3720,7482
3720,7516
3720,7530
3720,7541
3720,7590
3720,7595
3720,7704
3720,7740
3720,7945
3720,7953
3720,7990
3720,8010
3720,8073
3720,8074
3720,8100
3720,8208
3720,8235
3720,8254
3720,8286
3720,8288
3720,8301
3720,8345
3720,8467
3720,8495
3720,8557
3720,8582
3720,8616
3720,8642
3720,8696
3720,8828
3720,8890
3720,8983
3720,9161
3720,9164
3720,9201
3720,9290
3720,9469
3720,9514
3720,9546
3720,9593
3720,9609
3720,9622
3720,9629
3720,9678
3720,9698
3720,9841
3720,9877
3720,9886
3720,9929
3720,9954
3720,10005
3720,10039
3720,10223
3720,10230
3720,10249
3720,10283
3720,10353
3720,10378
3720,10494
3720,10516
3720,10525
3720,10538
3720,10638
3720,10667
3720,10784
3720,10788
3720,10854
3720,10927
3720,10942
3720,10966
3720,11022
3720,11030
3720,11043
3720,11044
3720,11112
3720,11158
3720,11307
3720,11352
3720,11406
3720,11415
3720,11452
3720,11461
3720,11480
3720,11533
3720,11662
3720,11672
3720,11686
3720,11788
3720,11830
3720,11891
3720,11932
3720,11944
3720,12055
3720,12101
3720,12116
3919,7
3919,67
3919,83
3919,299
3919,333
3919,380
3919,802
3919,1040
3919,1078
3919,1162
3919,1192
3919,1397
3919,1398
3919,1476
3919,1492
3919,1963
3919,2037
3919,2320
3919,2494
3919,2855
3919,2949
3919,3081
3919,3293
3919,3680
3919,3714
3919,4183
3919,4395
3919,4420
3919,4577
3919,4698
3919,5044
3919,5089
3919,5196
3919,5605
3919,5955
3919,6163
3919,6418
3919,6466
3919,6535
3919,6605
3919,6951
3919,6953
3919,7020
3919,7291
3919,7448
3919,7542
3919,7802
3919,7943
3919,8021
3919,8333
3919,8409
3919,8517
3919,8862
3919,8951
3919,8959
3919,9201
3919,9229
3919,9319
3919,9568
3919,9766
3919,9988
3919,10045
3919,10064
3919,10193
3919,10223
3919,10272
3919,10283
3919,10843
3919,10852
3919,11145
3919,11168
3919,11384
3919,11570
3919,11670
3919,11830
3919,12003
3919,12055
3919,12057
3919,12132
4347,633
4347,3264
4347,4167
4347,4444
4347,4885
4347,4927
4347,5046
4347,6236
4347,6270
4347,6418
4347,6500
4347,6908
4347,7461
4347,8275
4347,9357
4347,9470
4347,10272
4347,11071
4347,11992
4347,12039
4558,104
4558,148
4558,152
4558,211
4558,231
4558,406
4558,473
4558,681
4558,865
4558,893
4558,1022
4558,1026
4558,1156
4558,1157
4558,1186
4558,1187
4558,1306
4558,1334
4558,1384
4558,1411
4558,1448
4558,1564
4558,1620
4558,1649
4558,1662
4558,1670
4558,1686
4558,1699
4558,1717
4558,1924
4558,2059
4558,2126
4558,2210
4558,2246
4558,2596
4558,2631
4558,2723
4558,2784
4558,2915
4558,3067
4558,3246
4558,3301
4558,3302
4558,3314
4558,3534
4558,3559
4558,3679
4558,3776
4558,3850
4558,3904
4558,3946
4558,4060
4558,4121
4558,4226
4558,4335
4558,4348
4558,4634
4558,4815
4558,4886
4558,4977
4558,4989
4558,5019
4558,5077
4558,5220
4558,5410
4558,5456
4558,5559
4558,5597
4558,5672
4558,5705
4558,5739
4558,5849
4558,5996
4558,6033
4558,6069
4558,6180
4558,6453
4558,6486
4558,6535
4558,6587
4558,6631
4558,6787
4558,6857
4558,7085
4558,7295
4558,7437
4558,7453
4558,7482
4558,7530
4558,7586
4558,7590
4558,7622
4558,7654
4558,7703
4558,7744
4558,7892
4558,8010
4558,8017
4558,8208
4558,8254
4558,8288
4558,8333
4558,8517
4558,8531
4558,8573
4558,8790
4558,9088
4558,9161
4558,9220
4558,9290
4558,9292
4558,9307
4558,9409
4558,9877
4558,9929
4558,10062
4558,10264
4558,10388
4558,10529
4558,10573
4558,10581
4558,10582
4558,10736
4558,10752
4558,10784
4558,10839
4558,10919
4558,10927
4558,10949
4558,11040
4558,11219
4558,11297
4558,11394
4558,11415
4558,11457
4558,11672
4558,11786
4558,11932
4558,11957
4558,11992
4558,12116
4885,123
4885,286
4885,292
4885,440
4885,442
4885,493
4885,673
4885,893
4885,959
4885,1077
4885,1521
4885,1627
4885,1974
4885,2110
4885,2216
4885,2277
4885,2593
4885,2653
4885,2825
4885,2949
4885,3498
4885,4057
4885,4068
4885,4600
4885,4817
4885,4849
4885,5183
4885,5302
4885,5456
4885,5899
4885,5902
4885,5955
4885,6236
4885,6418
4885,6500
4885,6892
4885,6908
4885,7047
4885,7106
4885,7251
4885,7671
4885,7719
4885,7785
4885,7857
4885,8130
4885,8862
4885,9061
4885,9229
4885,9319
4885,9929
4885,10230
4885,10272
4885,10388
4885,10839
4885,10844
4885,10966
4885,10975
4885,11097
4885,11307
4885,11836
4885,12101
4927,67
4927,196
4927,1577
4927,2037
4927,2269
4927,2596
4927,2609
4927,3564
4927,3710
4927,3766
4927,5046
4927,5456
4927,5673
4927,5765
4927,5860
4927,5902
4927,6419
4927,6512
4927,6686
4927,6713
4927,7542
4927,7785
4927,8100
4927,8508
4927,8878
4927,8979
4927,9290
4927,9383
4927,10852
4927,11097
4927,11251
4927,11455
4927,11836
4927,11987
4927,12116
4927,12146
5313,123
5313,463
5313,902
5313,1403
5313,1974
5313,2691
5313,2895
5313,3356
5313,3761
5313,4080
5313,4906
5313,6128
5313,7437
5313,7541
5313,7626
5313,7671
5313,7889
5313,8068
5313,8167
5313,8172
5313,8247
5313,8508
5313,8832
5313,8859
5313,9097
5313,9229
5313,9319
5313,9677
5313,10230
5313,10430
5313,10515
5313,10706
5313,10839
5313,11284
5313,11468
5313,11570
5313,11673
5860,5
5860,123
5860,300
5860,333
5860,463
5860,493
5860,839
5860,902
5860,1131
5860,1362
5860,1372
5860,1398
5860,1403
5860,1529
5860,1847
5860,1849
5860,2091
5860,2277
5860,2443
5860,2494
5860,2546
5860,2593
5860,2653
5860,2763
5860,2825
5860,2949
5860,3356
5860,3564
5860,3574
5860,4089
5860,4444
5860,4445
5860,4460
5860,4666
5860,4692
5860,4849
5860,5183
5860,5254
5860,5372
5860,5524
5860,5532
5860,5613
5860,5652
5860,5694
5860,5827
5860,5902
5860,5904
5860,5955
5860,5967
5860,6067
5860,6187
5860,6277
5860,6329
5860,6418
5860,6653
5860,6823
5860,6893
5860,6908
5860,6959
5860,7047
5860,7125
5860,7251
5860,7275
5860,7543
5860,7626
5860,7671
5860,7710
5860,7750
5860,7889
5860,7892
5860,8047
5860,8048
5860,8172
5860,8388
5860,8515
5860,8517
5860,8583
5860,8609
5860,8755
5860,8832
5860,9054
5860,9057
5860,9142
5860,9229
5860,9355
5860,9357
5860,9401
5860,9470
5860,9677
5860,9873
5860,9910
5860,10272
5860,10283
5860,10483
5860,10844
5860,10852
5860,10919
5860,10966
5860,10971
5860,11071
5860,11081
5860,11097
5860,11251
5860,11738
5860,12124
6128,67
6128,127
6128,333
6128,463
6128,493
6128,1362
6128,1458
6128,1786
6128,1959
6128,2053
6128,2119
6128,3462
6128,3660
6128,3737
6128,4329
6128,4597
6128,4795
6128,4832
6128,5044
6128,5532
6128,5550
6128,6067
6128,6329
6128,6535
6128,6959
6128,6969
6128,7564
6128,7671
6128,7704
6128,7785
6128,8326
6128,8375
6128,8517
6128,8832
6128,9229
6128,9281
6128,9412
6128,9470
6128,9621
6128,9677
6128,10667
6128,10743
6128,10919
6128,11291
6128,11676
6128,12101
6236,113
6236,148
6236,175
6236,334
6236,361
6236,392
6236,478
6236,530
6236,597
6236,615
6236,633
6236,1043
6236,1061
6236,1071
6236,1136
6236,1186
6236,1632
6236,1717
6236,1963
6236,2037
6236,2223
6236,2335
6236,2461
6236,2471
6236,2494
6236,2735
6236,2771
6236,2825
6236,2974
6236,2991
6236,3292
6236,3299
6236,3341
6236,3462
6236,3884
6236,3935
6236,4123
6236,4166
6236,4167
6236,4395
6236,4577
6236,4653
6236,4849
6236,5046
6236,5307
6236,5356
6236,5485
6236,5559
6236,6065
6236,6264
6236,6314
6236,6400
6236,6418
6236,6532
6236,6535
6236,6605
6236,6610
6236,6648
6236,6821
6236,6928
6236,7199
6236,7306
6236,7338
6236,7480
6236,7626
6236,7719
6236,7740
6236,7806
6236,7892
6236,7965
6236,7995
6236,8047
6236,8275
6236,8348
6236,8370
6236,8471
6236,8504
6236,8517
6236,8589
6236,8609
6236,8628
6236,8824
6236,9037
6236,9117
6236,9142
6236,9150
6236,9281
6236,9316
6236,9470
6236,9522
6236,9568
6236,9678
6236,9808
6236,9952
6236,10279
6236,10582
6236,10621
6236,10706
6236,10761
6236,10841
6236,10919
6236,11100
6236,11172
6236,11555
6236,11563
6236,11659
6236,11846
6236,12063
6236,12132
6236,12137
6418,25
6418,348
6418,422
6418,473
6418,1326
6418,1605
6418,2110
6418,2125
6418,2246
6418,2277
6418,2596
6418,2653
6418,2949
6418,2980
6418,3156
6418,3498
6418,3564
6418,4159
6418,4447
6418,5091
6418,5196
6418,5254
6418,5572
6418,5617
6418,5676
6418,5709
6418,5814
6418,5849
6418,6116
6418,6507
6418,6512
6418,6699
6418,7299
6418,7389
6418,7437
6418,7516
6418,7530
6418,7590
6418,7622
6418,7825
6418,7953
6418,8130
6418,8254
6418,8333
6418,8495
6418,8508
6418,8746
6418,8994
6418,9097
6418,9161
6418,9229
6418,9290
6418,9386
6418,9401
6418,9467
6418,9910
6418,10039
6418,10272
6418,10312
6418,10342
6418,10425
6418,10568
6418,10607
6418,10839
6418,10927
6418,11044
6418,11145
6418,11251
6418,11461
6418,11670
6418,11738
6418,11891
6418,11944
6418,12116
7389,473
7389,597
7389,1535
7389,2276
7389,2991
7389,3355
7389,3401
7389,3714
7389,3952
7389,5032
7389,5780
7389,6012
7389,6218
7389,6484
7389,6587
7389,6653
7389,6681
7389,6690
7389,8791
7389,11034
7389,11640
7389,11666
7469,7
7469,41
7469,57
7469,408
7469,421
7469,597
7469,669
7469,795
7469,833
7469,895
7469,1022
7469,1066
7469,1168
7469,1372
7469,1384
7469,1527
7469,1529
7469,1536
7469,1564
7469,1894
7469,1911
7469,2037
7469,2125
7469,2199
7469,2320
7469,2559
7469,2778
7469,2809
7469,2851
7469,2881
7469,3024
7469,3030
7469,3188
7469,3192
7469,3218
7469,3275
7469,3387
7469,3500
7469,3564
7469,3609
7469,3778
7469,3872
7469,3905
7469,3953
7469,4032
7469,4080
7469,4167
7469,4203
7469,4235
7469,4260
7469,4391
7469,4395
7469,4398
7469,4431
7469,4546
7469,4562
7469,4577
7469,4692
7469,4892
7469,4918
7469,5019
7469,5020
7469,5128
7469,5413
7469,5440
7469,5486
